Country,Diseases_Count,Gini_Across_Diseases,CV_Across_Diseases,PBR_Range,Mean_PBR,Total_Participants
URY,3,0.6466525879177225,1.351822938928421,17.844897657621587,6.132400746394841,4352.352644424
ARG,14,0.6338342647380234,1.58317738298922,2.959587385758376,0.6038970497524961,7059.702245801692
ARE,8,0.6260182543558767,1.3409194601391212,4.768534270030227,1.115210191736716,2284.98860417825
THA,16,0.6259832172815001,1.543464817658368,6.732780609365808,1.0909629751130616,23119.36899368373
HND,7,0.6201813605719355,1.2669331701868332,6.2544535849763045,1.7613620021179945,2094.558740462
ROU,13,0.6169177565207021,1.42720299651995,6.503398817826245,1.2042960673166372,7482.730617669539
GEO,10,0.6145619783661103,1.1929599996591684,4.220477969643023,1.1223229207825745,2371.2523303878334
KAZ,10,0.6144708571508493,1.6630975933797632,6.376676128619753,1.0927756516819067,4698.433426716667
MDA,6,0.6100960636608598,1.1977127251263222,1.8184913946170589,0.5359616182899086,982.7870712869999
KHM,12,0.6040667583809027,1.3007555850161667,19.771318153907036,4.170854534789326,49368.334272278364
HTI,11,0.6038896300312623,1.2841016824372928,5.600838860344454,1.2400969019992432,8041.7606643112
DZA,6,0.5978061299770021,1.1896681667751385,2.518375280831955,0.8526532272482541,3080.0
VEN,12,0.5949512677495247,1.215883229582982,10.540382821271846,2.5081214679545614,5773.062558996667
MMR,8,0.5883795339927637,1.3053276963112674,3.1623260472535186,0.743470379192386,7432.716592045
BOL,8,0.5843583235640041,1.1621347919955463,4.133523280201658,1.170004711005123,2270.49178205
SGP,16,0.5828727322688843,1.1721381649513778,19.454446736619104,6.151304761150593,20237.058199823332
ETH,15,0.580936042584523,1.7106859554198153,5.5618020251677525,0.7758016088967216,40211.946091878985
BLR,7,0.5745796206452766,1.1101842494358116,19.869534344294244,8.032232245464618,55886.13582335999
FJI,3,0.5680176150908092,1.1818751928498437,19.143737835673456,7.48949302004107,4882.9049787856675
MAR,3,0.5642581561962996,1.1188267089030042,1.8880937206339117,0.7435893974337611,1146.0
SVK,11,0.5630377840688312,1.132646611874997,0.8755133674358305,0.2368823345837982,664.1650161011335
IRQ,11,0.5563075769624297,1.272921956174788,3.1720139943319983,0.739129220805452,11273.132863997917
JOR,11,0.5560940997407643,1.611491981111445,15.36426983599503,2.637055669469765,7341.9343490872
UGA,16,0.5545076977873844,1.6533967851837623,13.175202749699128,1.8517763970232886,52010.25698606791
CHL,14,0.5538648172989639,1.0925550540012137,7.366003584271406,2.0166514024223763,10638.219867238611
ISR,15,0.5536885012606348,1.3772331691756419,19.427260218811533,3.5034369715689047,28200.050242391353
PNG,6,0.5501575748711878,1.1768879440331426,4.251953146313508,1.2065521815017026,3717.2563663
SRB,13,0.5460934435484256,1.0311155627812012,3.346460897435891,1.065252273279486,5852.871468891279
UKR,13,0.5444634292361102,1.0510634792066302,0.7056511748896606,0.21470824482503492,4090.3011724502117
SVN,11,0.5432134734639796,1.0209807497794838,1.3089421190308643,0.3907571798211357,1442.6615517842667
LKA,14,0.5394968863948105,1.1435376242748665,3.7636439189932527,1.1906018427145553,8071.041623239647
AFG,10,0.5379337563610548,1.0794987927129276,2.277101535887431,0.670697636705514,5801.728795595238
SLB,6,0.5372783056367981,1.1447162918030531,17.96740052605756,5.174479034559198,5646.255540612
CRI,7,0.5347668537473769,0.9979452385695969,8.46239468112499,3.4709977579499465,9818.014176760833
NER,7,0.534314969674947,1.004057069581498,4.531360597358625,1.5375249548020449,10917.408959199998
AGO,4,0.5324714033953315,1.1885759097410915,1.410341557891296,0.5017385562036966,2666.417334188
ZMB,13,0.5276863283999677,1.2303361413383425,10.507229971026936,2.380636080825298,20910.98289532875
MOZ,10,0.5244046884145008,0.9893378114170887,1.2798982218284471,0.4679792239324102,9349.460139350145
IDN,16,0.5087500909180286,0.9691956975802951,0.6155189944727074,0.17867968499320624,21433.65582970415
JPN,16,0.5082956110316149,1.15354208821124,9.498221691207613,2.1337474187356977,111234.42759050513
ALB,4,0.5040589921019626,0.9536851153802441,1.6398429041209255,0.6646810411142136,424.0
BGD,15,0.5040413456085291,0.9893499400106033,1.3538269086529269,0.41185181627670103,28330.599438574955
MWI,14,0.5000345642987967,1.0937375184222886,7.8366491485307535,1.9858273063388037,26579.041296063726
ESP,16,0.4988749061594848,1.154072882123826,12.556028518925382,3.280481591698855,48180.38021832164
PRT,13,0.4984865874909502,1.0313445111438255,4.645715220709683,1.1977790272482702,7090.918903286973
SLE,7,0.49834758526748196,0.9172881052378825,4.434831537231722,1.6990978643203418,8918.266666666668
MNE,2,0.49774418954284694,0.9954883790856939,0.8263410749992307,0.4150430544242935,260.77771567
NPL,16,0.4959247855304699,0.9469975129741393,3.877519392316371,1.211291701118221,23617.0651749123
GMB,11,0.4939544844400159,0.9094673854735279,19.768544390067746,9.003725313339634,47646.90701754386
CHN,16,0.49359281200855665,1.1233626082455217,2.52593191339347,0.5398640399172553,219646.17750724163
AUT,16,0.4897461904760917,1.0038489728814262,8.359966725304812,2.3517489522094723,10379.744478016286
NZL,15,0.4889773474275008,1.1335217479915907,19.85685526146422,4.100117278232421,16961.14314632357
BRA,16,0.4889234108511742,0.9788915702141627,1.215946717259125,0.3437881135304971,36858.966734042675
TTO,2,0.48319554349597227,0.9663910869919446,0.7639621570701595,0.39526552311658864,251.822827508
PRY,5,0.47827366127314985,0.8759917961186923,1.0007845408491283,0.44366822018477486,722.1890128760001
HUN,14,0.47800322412555574,0.9240503179170532,2.2230178059668724,0.6534316456083019,3580.0840408228014
BDI,7,0.47667736140174,0.9594448140613517,12.440228146150222,4.033149088706685,21980.77826097
FRA,16,0.4747916145863268,0.9867845687999016,7.581959974391167,2.0920171442468947,43062.20826544456
MNG,6,0.47191911405345827,1.1154195974005359,12.11999196660488,3.837836675636644,4077.6619146656
JAM,4,0.471583491682834,0.9335680726735377,3.2596259209838334,1.3355723384506704,1290.5
ZWE,12,0.4714988532185826,0.99900011470288,6.610579673339906,1.76539103291502,17454.460436754493
GHA,15,0.47048125542558805,1.0610237286598085,3.9097169391655227,0.8836306255502919,18743.73219054082
TZA,13,0.4654230686390238,0.9108679441638203,19.101120098026023,7.69773977464789,32143.333196106538
BWA,11,0.4643406636755269,0.8493287953824074,19.015484796252277,7.745152648598938,28997.807922959175
LBN,13,0.4627882614339584,0.8262175636700836,5.1013231388382225,2.041260286301541,6994.123582147633
COD,11,0.4607500482286687,0.9260515738800743,15.129193796610437,5.411059916472049,16431.053590646014
ITA,16,0.459592968305108,1.0318173707181884,6.264283988522468,1.4944782252285402,37240.304416445026
ISL,12,0.4588467842138361,0.9801377196709903,14.39877909669827,3.7959549629737492,11740.288135511168
CIV,9,0.4565014232365777,0.8278240724388443,16.824986750386863,6.409541182334907,12642.354494671767
CMR,13,0.4560880939246847,0.9844838802864941,1.1836909624037875,0.30509952384392,5675.091914759227
GIN,3,0.4510508428306865,0.8290976526764636,2.0342895105401273,1.0022469592087155,5201.651231209999
EGY,16,0.44042176677140565,0.9694352613288194,1.2224674495802583,0.2965796191772977,8431.520408390315
COG,3,0.4388644242362763,0.8065929099386024,3.597395122953702,1.8215674233001007,1169.35539894
CZE,15,0.42758040765169447,0.9131285442066768,2.4024534170489136,0.7048283397270273,4165.501985317678
PSE,9,0.4273837428508055,0.8011879343672486,5.5981522494578595,2.095655609483617,4980.833333333334
SEN,8,0.4257241980704408,0.7775711159883105,3.12512177813956,1.401136025271722,7998.766348306666
SDN,8,0.4254989080156608,0.7862686290287378,0.3449019068791051,0.1410603181466873,1971.1654201133333
QAT,10,0.4225179024907817,0.7500832227536154,2.6176732373936167,1.098623680616589,2561.224704633667
TLS,2,0.41947912844146207,0.8389582568829242,18.248554663877524,10.875722668061238,5152.0
MLI,8,0.4173385129598355,0.7825133099314612,1.2009099553377973,0.5521158258398076,8532.918142534767
TUN,14,0.41605921248062305,0.7488923749162691,2.1702209879853753,0.8424669159714381,4364.418875009721
VNM,16,0.41575056880128025,0.7456162221140172,14.199242779306521,6.272403239425205,24677.06177341463
IND,16,0.41536996166694473,0.7867606510237298,0.2896307086342846,0.11755652062496291,91643.40980090732
NGA,15,0.4142783180554449,0.7543476876136277,0.31417766245135187,0.13245585000453428,15902.813445906228
HRV,14,0.40953179230678327,0.73318882434304,2.423217183435097,1.1335674180111117,3074.004226992967
IRL,15,0.4091894985850017,0.7436734576164804,8.847125853553141,3.4362488250354364,11902.401296277787
KEN,15,0.40794950772039407,0.8663467257588932,3.6778898004159872,1.0700960182114863,33270.741040776375
LBR,7,0.4036697387239491,0.7432055558015097,5.791001437959667,2.6971306202270946,5899.200579409333
NAM,4,0.4031682813081565,0.7385887346068056,5.444795225919972,3.004762330482361,3569.398383472333
SWE,16,0.4001132921528361,0.7214713690453056,19.979275171065492,7.840115297006978,50193.06505632632
CAN,16,0.39888793055918115,0.9125056813583655,19.540100700049656,5.020315073628911,87494.65674728583
CUW,3,0.39588520890313933,0.7435036390214258,2.235978441658153,1.2551216538828258,1020.028980552
GNB,9,0.3955065926613044,0.7393062337656727,7.850631244321627,3.6180881733458117,5278.489686596733
KWT,4,0.38062186484563887,0.7308336729863312,1.5241912138443217,0.8043383393240636,948.6507788
GTM,12,0.37658964103606857,0.6883915642881457,6.517433295160634,2.6608696342154725,14548.429809516834
AUS,16,0.36870385747456436,0.6689245482466025,18.284591599063678,8.604713033608789,102481.98383803935
KOR,16,0.36565874190909076,0.6742868052395683,19.135434707290212,7.876065766268755,31023.474408517282
RWA,12,0.36398560734981444,0.6501433498631888,4.091783514991341,2.0133871998896997,14004.356695892267
MYS,16,0.3624465486491131,0.6828363982768849,2.6921251691251125,0.9821862751227387,9786.338615803845
LSO,5,0.3618621473135448,0.6556378472203652,4.585487358514063,2.5789415745609054,3673.8488880249997
LAO,5,0.36148304149492494,0.6736916948335347,11.036400384345239,6.539601740968104,5661.071428571428
TWN,16,0.36142797734804355,0.7930684276347131,15.206321796181472,4.159487276150816,14628.593561236006
FIN,15,0.35622161012002257,0.6912364209720135,18.330018155748398,6.47392377889884,25384.77127997035
GRL,6,0.35032649577141717,0.6990575546039842,4.874574646559639,2.9351771782496043,3216.0
CAF,2,0.3493494619597979,0.6986989239195959,1.101589712301492,0.7883150199529,753.0
