ISO3,Disease,Participants,DALYs,PBR,log_pbr,income_group,rd_expenditure,total_publications,total_citations,researchers_per_million,doctors_per_10k,hospital_beds,sanitation,uhc_index,gdp_per_capita,hdi,democracy_index,trust_scientists,altruism
MOZ,Neurological disorders,4647.3834,235158.60073010583,3.4399570762760137,1.23546190048951,L,-0.441411211580922,132.04,5272.52,32.79408900000001,0.6626000000000001,20040.8482376,-1.140076444058883,-1.598771724046252,1300.3855616581347,-1.8850553895997628,-0.6008977387636056,-1.16608350471377,-1.0897786239654117
MWI,Neurological disorders,1234.1570333333334,155486.0868548803,1.381606212001048,0.3232539820034377,L,-0.5072401214689258,332.88,9001.64,42.9861488,0.3731999999999999,17978.519106400003,-0.9663518487866488,-1.369280703576018,1500.3485355091457,-1.5744347206906932,-0.2205632013929792,-1.16608350471377,0.4893351836331908
MYS,Neurological disorders,297.33568125,312892.7544242101,0.1654081525741775,-1.799278752873005,UM,0.3205595102977949,2605.48,55587.32,1096.0548646,13.974800000000002,56728.86625879999,0.9490977587343962,0.7007283010654937,26017.720142413487,0.3222339091631748,-0.8323313824680858,-1.50122773627108,0.172667976227054
NAM,Neurological disorders,0.9449,22023.330396652233,0.0017396894946971,-6.348316938391208,LM,-0.4431584255864033,64.68,1245.32,168.65080719999995,4.247199999999999,5608.9638,-0.3877370729215434,-0.4077133278057371,10254.713643524048,-0.7473514563466852,0.3315202790894335,-2.415257458700104,-0.4311108325606471
NGA,Neurological disorders,437.06155,1859207.3063557136,0.0409185440699913,-3.1959275603298622,L,-0.5965390932024645,2139.6,34309.04,30.4566354,3.4715999999999996,70528.5225,-0.960798900109685,-1.5551684301569078,7594.354887665404,-1.3435747020118616,-0.3508126261239092,-2.2553022572750243,0.8017801616072459
NLD,Neurological disorders,14102.402404166663,376962.3041200174,6.511792721353038,1.8736163336088287,H,1.6760164894550469,16957.44,859167.12,4281.813516,31.9052,62550.2333876,1.5517671302296476,0.9715277052203698,62999.86555815831,1.2560775469520056,1.1470557582817829,1.012354000408737,1.8024485370106376
NOR,Neurological disorders,2826.965355,111681.3209212659,4.406008519912612,1.4829714517105397,H,1.346422634431936,4862.76,209808.6,5739.830929999999,41.2756,20221.0005844,0.8433966781901925,1.0793884848413795,85207.42722944335,1.3868651970189827,1.2600525742476367,0.981886342994438,1.0213360920755006
NPL,Neurological disorders,255.9672,313788.45467724133,0.1419883609063937,-1.9519397643602163,L,-0.5849687050789807,901.52,11567.88,59.65797,5.1694,8137.124040399999,-0.842358014740521,-1.4518974709453023,3508.52037662225,-1.082247105760611,-0.3497246237693546,-0.015929437323915,-0.3762218499435834
NZL,Neurological disorders,448.03164444444445,81924.06931293232,0.8248872315926304,-0.1924964681731732,H,0.7569952581257706,3266.96,128033.0,4179.645111999999,28.086,11776.8108888,1.1486204745742885,1.2560965706034597,43747.40306150099,1.2322979742125555,1.2142010464485624,1.0352047434694611,2.2668937745396383
PAK,Neurological disorders,1046.8544214285714,1968857.333320554,0.0925502151072728,-2.3798958721228303,L,-0.5323366079765423,2507.96,50960.8,218.36298560000003,8.3796,102724.429004,-0.61746182271422,-1.0938914790117371,4604.534345725936,-1.3683450902821224,-0.741250042501111,0.2163864504601283,-1.1700009831749665
PAN,Neurological disorders,100.9621,46635.82045747971,0.1858849663801041,-1.6825734616514296,UM,-0.6140284156054884,76.24,4280.52,118.2820104,14.8664,7854.0216504,-0.7564787574548428,0.6731893786090654,25958.763735724344,0.3569124527415395,0.6501495400660523,0.2468541078744295,-0.0088878893524642
