Index,Variables,GDP_Coeff,GDP_p,R2,IsValidStory
156,"foreign_aid_received, rd_expenditure, log_doctors_per_10k",,,0.19574848305917192,False
157,"foreign_aid_received, rd_expenditure, uhc_index",,,0.1809510482051664,False
158,"foreign_aid_received, rd_expenditure, log_medical_school",,,0.142592060378128,False
159,"foreign_aid_received, rd_expenditure, sanitation",,,0.17411188074599437,False
160,"foreign_aid_received, log_total_publications, log_health_expenditure_per_capita",,,0.20336684795669602,False
161,"foreign_aid_received, log_total_publications, log_hospital_beds_per_capita",,,0.23731955948651096,False
162,"foreign_aid_received, log_total_publications, log_doctors_per_10k",,,0.23945680589276008,False
163,"foreign_aid_received, log_total_publications, uhc_index",,,0.22142908660111527,False
164,"foreign_aid_received, log_total_publications, log_medical_school",,,0.2172961918749996,False
165,"foreign_aid_received, log_total_publications, sanitation",,,0.20506566372030843,False
166,"foreign_aid_received, log_total_citations, log_health_expenditure_per_capita",,,0.21102340689323684,False
167,"foreign_aid_received, log_total_citations, log_hospital_beds_per_capita",,,0.24490970389447986,False
168,"foreign_aid_received, log_total_citations, log_doctors_per_10k",,,0.24572669100380018,False
169,"foreign_aid_received, log_total_citations, uhc_index",,,0.2280733036232685,False
170,"foreign_aid_received, log_total_citations, log_medical_school",,,0.20178850624170075,False
171,"foreign_aid_received, log_total_citations, sanitation",,,0.20778865508844158,False
172,"foreign_aid_received, log_researchers_per_million, log_health_expenditure_per_capita",,,0.02126772977753988,False
173,"foreign_aid_received, log_researchers_per_million, log_hospital_beds_per_capita",,,0.196808528964854,False
174,"foreign_aid_received, log_researchers_per_million, log_doctors_per_10k",,,0.06995923145253391,False
175,"foreign_aid_received, log_researchers_per_million, uhc_index",,,0.03945309791074447,False
176,"foreign_aid_received, log_researchers_per_million, log_medical_school",,,0.022824877369432173,False
177,"foreign_aid_received, log_researchers_per_million, sanitation",,,0.02123560149849435,False
178,"log_gdp_per_capita, rd_expenditure, hdi",-0.2355494061623935,0.3816714712124516,0.18222839820186132,False
179,"log_gdp_per_capita, rd_expenditure, democracy_index",-0.34384069680441837,0.005915841703241967,0.1813279406796109,False
180,"log_gdp_per_capita, rd_expenditure, altruism",-0.3379809805734739,0.006012932458714495,0.18156250755459669,False
181,"log_gdp_per_capita, rd_expenditure, trust_scientists",-0.28934050365273867,0.024863763018880783,0.18614159762747873,False
182,"log_gdp_per_capita, log_total_publications, hdi",-0.24132009740655236,0.35757430321226613,0.22409849050791397,False
